Station_Name,Mode,Year,Month,Total_Boardings,Total_Alightings
Aircraft,Metro,2023,7,12760,13280
Aircraft,Metro,2023,8,17450,17550
Aircraft,Metro,2023,9,16680,16930
Aircraft,Metro,2023,10,17350,18070
Aircraft,Metro,2023,11,16060,17000
Aircraft,Metro,2023,12,15400,15530
Aircraft,Metro,2024,1,15530,17250
Aircraft,Metro,2024,2,18990,20370
Aircraft,Metro,2024,3,20310,21280
Aircraft,Metro,2024,4,18400,20120
Aircraft,Metro,2024,5,19410,20330
Aircraft,Metro,2024,6,16530,17720
Alamein,Metro,2023,7,5330,5140
Alamein,Metro,2023,8,6440,6200
Alamein,Metro,2023,9,4630,4260
Alamein,Metro,2023,10,5740,5050
Alamein,Metro,2023,11,4850,4350
Alamein,Metro,2023,12,4130,3570
Alamein,Metro,2024,1,3660,3620
Alamein,Metro,2024,2,5960,5670
Alamein,Metro,2024,3,6040,5760
Alamein,Metro,2024,4,5780,5080
Alamein,Metro,2024,5,6280,5620
Alamein,Metro,2024,6,4840,4650
Albion,Metro,2023,7,23440,22240
Albion,Metro,2023,8,35970,32270
Albion,Metro,2023,9,32510,29810
Albion,Metro,2023,10,34850,30910
Albion,Metro,2023,11,30610,28220
Albion,Metro,2023,12,29330,27930
Albion,Metro,2024,1,28720,28410
Albion,Metro,2024,2,35290,32790
Albion,Metro,2024,3,36690,34270
Albion,Metro,2024,4,32870,31370
Albion,Metro,2024,5,37880,35830
Albion,Metro,2024,6,31550,30100
Albury,VLine,2023,7,5930,5030
Albury,VLine,2023,8,4870,4350
Albury,VLine,2023,9,5200,4810
Albury,VLine,2023,10,5480,4890
Albury,VLine,2023,11,5720,4690
Albury,VLine,2023,12,6770,5860
Albury,VLine,2024,1,7310,6720
Albury,VLine,2024,2,5390,4760
Albury,VLine,2024,3,5570,4990
Albury,VLine,2024,4,7740,7000
Albury,VLine,2024,5,6310,5630
Albury,VLine,2024,6,6510,5940
Alphington,Metro,2023,7,17120,15780
Alphington,Metro,2023,8,19100,15690
Alphington,Metro,2023,9,15670,13810
Alphington,Metro,2023,10,18390,17040
Alphington,Metro,2023,11,17820,16640
Alphington,Metro,2023,12,15360,13150
Alphington,Metro,2024,1,13230,12110
Alphington,Metro,2024,2,18890,17960
Alphington,Metro,2024,3,18920,17830
Alphington,Metro,2024,4,17850,16110
Alphington,Metro,2024,5,19140,18020
Alphington,Metro,2024,6,16220,15090
Altona,Metro,2023,7,11830,13210
Altona,Metro,2023,8,17860,19780
Altona,Metro,2023,9,19000,22140
Altona,Metro,2023,10,18800,22720
Altona,Metro,2023,11,18140,20460
Altona,Metro,2023,12,18990,23240
Altona,Metro,2024,1,20830,26150
Altona,Metro,2024,2,22310,26230
Altona,Metro,2024,3,22900,26150
Altona,Metro,2024,4,19380,23210
Altona,Metro,2024,5,19250,21510
Altona,Metro,2024,6,17690,20940
Anstey,Metro,2023,7,23380,21750
Anstey,Metro,2023,8,25550,23640
Anstey,Metro,2023,9,25390,24200
Anstey,Metro,2023,10,25900,23880
Anstey,Metro,2023,11,27490,25670
Anstey,Metro,2023,12,26090,24760
Anstey,Metro,2024,1,26730,25790
Anstey,Metro,2024,2,29900,28280
Anstey,Metro,2024,3,30010,27660
Anstey,Metro,2024,4,27250,24010
Anstey,Metro,2024,5,29570,27800
Anstey,Metro,2024,6,26470,24740
Ararat,VLine,2023,7,3990,4140
Ararat,VLine,2023,8,3370,3410
Ararat,VLine,2023,9,2370,2580
Ararat,VLine,2023,10,4440,4910
Ararat,VLine,2023,11,4540,5140
Ararat,VLine,2023,12,5070,5720
Ararat,VLine,2024,1,4310,5090
Ararat,VLine,2024,2,3440,3980
Ararat,VLine,2024,3,5300,5950
Ararat,VLine,2024,4,5490,5920
Ararat,VLine,2024,5,4920,5280
Ararat,VLine,2024,6,3510,3800
Ardeer,VLine,2023,7,7490,6520
Ardeer,VLine,2023,8,3220,3320
Ardeer,VLine,2023,9,5810,5730
Ardeer,VLine,2023,10,6530,6300
Ardeer,VLine,2023,11,7000,6750
Ardeer,VLine,2023,12,5420,4850
Ardeer,VLine,2024,1,4850,4930
Ardeer,VLine,2024,2,5980,6200
Ardeer,VLine,2024,3,6560,6160
Ardeer,VLine,2024,4,6150,5880
Ardeer,VLine,2024,5,7270,7550
Ardeer,VLine,2024,6,6160,5920
Armadale,Metro,2023,7,5200,5110
Armadale,Metro,2023,8,31090,29330
Armadale,Metro,2023,9,28920,27640
Armadale,Metro,2023,10,31780,31150
Armadale,Metro,2023,11,30680,29660
Armadale,Metro,2023,12,27750,27190
Armadale,Metro,2024,1,27780,28710
Armadale,Metro,2024,2,35120,36050
Armadale,Metro,2024,3,37360,36190
Armadale,Metro,2024,4,35350,33680
Armadale,Metro,2024,5,38750,37600
Armadale,Metro,2024,6,31850,31690
Ascot Vale,Metro,2023,7,37250,34010
Ascot Vale,Metro,2023,8,38940,37210
Ascot Vale,Metro,2023,9,32520,31490
Ascot Vale,Metro,2023,10,35120,32620
Ascot Vale,Metro,2023,11,34980,34610
Ascot Vale,Metro,2023,12,32190,30920
Ascot Vale,Metro,2024,1,27640,26940
Ascot Vale,Metro,2024,2,39070,37430
Ascot Vale,Metro,2024,3,39620,36820
Ascot Vale,Metro,2024,4,37020,35490
Ascot Vale,Metro,2024,5,42120,40840
Ascot Vale,Metro,2024,6,33640,32240
Ashburton,Metro,2023,7,13210,12960
Ashburton,Metro,2023,8,16030,15370
Ashburton,Metro,2023,9,12690,11230
Ashburton,Metro,2023,10,14620,13310
Ashburton,Metro,2023,11,13520,12370
Ashburton,Metro,2023,12,11240,10740
Ashburton,Metro,2024,1,10380,10560
Ashburton,Metro,2024,2,14780,13920
Ashburton,Metro,2024,3,15450,14210
Ashburton,Metro,2024,4,14340,12840
Ashburton,Metro,2024,5,14780,14070
Ashburton,Metro,2024,6,12960,12180
Aspendale,Metro,2023,7,1350,2640
Aspendale,Metro,2023,8,10040,9120
Aspendale,Metro,2023,9,8450,8160
Aspendale,Metro,2023,10,6570,6010
Aspendale,Metro,2023,11,6990,7150
Aspendale,Metro,2023,12,7330,6770
Aspendale,Metro,2024,1,7220,7300
Aspendale,Metro,2024,2,10180,10520
Aspendale,Metro,2024,3,11940,11460
Aspendale,Metro,2024,4,9610,8820
Aspendale,Metro,2024,5,11290,11000
Aspendale,Metro,2024,6,8090,7780
Auburn,Metro,2023,7,48390,46520
Auburn,Metro,2023,8,52910,50440
Auburn,Metro,2023,9,43690,40650
Auburn,Metro,2023,10,45670,41710
Auburn,Metro,2023,11,49040,45340
Auburn,Metro,2023,12,44100,43250
Auburn,Metro,2024,1,40030,38730
Auburn,Metro,2024,2,50800,50080
Auburn,Metro,2024,3,55670,54590
Auburn,Metro,2024,4,44610,41450
Auburn,Metro,2024,5,52560,50080
Auburn,Metro,2024,6,47520,47840
Avenel,VLine,2023,7,20,0
Avenel,VLine,2023,8,30,50
Avenel,VLine,2023,9,120,60
Avenel,VLine,2023,10,10,20
Avenel,VLine,2023,11,50,70
Avenel,VLine,2023,12,0,10
Avenel,VLine,2024,1,40,50
Avenel,VLine,2024,2,10,20
Avenel,VLine,2024,3,10,40
Avenel,VLine,2024,4,30,280
Avenel,VLine,2024,5,80,20
Avenel,VLine,2024,6,40,50
Bacchus Marsh,VLine,2023,7,23060,23590
Bacchus Marsh,VLine,2023,8,21650,21720
Bacchus Marsh,VLine,2023,9,42590,35280
Bacchus Marsh,VLine,2023,10,26380,26480
Bacchus Marsh,VLine,2023,11,25870,26210
Bacchus Marsh,VLine,2023,12,23140,23170
Bacchus Marsh,VLine,2024,1,21300,21920
Bacchus Marsh,VLine,2024,2,27480,27740
Bacchus Marsh,VLine,2024,3,29430,28680
Bacchus Marsh,VLine,2024,4,29150,28510
Bacchus Marsh,VLine,2024,5,33430,33340
Bacchus Marsh,VLine,2024,6,19090,18780
Bairnsdale,VLine,2023,7,1010,980
Bairnsdale,VLine,2023,8,2910,2620
Bairnsdale,VLine,2023,9,3900,3810
Bairnsdale,VLine,2023,10,5370,5410
Bairnsdale,VLine,2023,11,4200,4350
Bairnsdale,VLine,2023,12,4630,4830
Bairnsdale,VLine,2024,1,7230,6380
Bairnsdale,VLine,2024,2,4970,4820
Bairnsdale,VLine,2024,3,5780,5830
Bairnsdale,VLine,2024,4,6630,6320
Bairnsdale,VLine,2024,5,620,520
Bairnsdale,VLine,2024,6,3060,2730
Balaclava,Metro,2023,7,68890,74700
Balaclava,Metro,2023,8,63600,66520
Balaclava,Metro,2023,9,47280,47950
Balaclava,Metro,2023,10,61660,63400
Balaclava,Metro,2023,11,59260,62880
Balaclava,Metro,2023,12,60140,66120
Balaclava,Metro,2024,1,61060,64890
Balaclava,Metro,2024,2,69840,74750
Balaclava,Metro,2024,3,64420,68780
Balaclava,Metro,2024,4,65820,68610
Balaclava,Metro,2024,5,77370,77250
Balaclava,Metro,2024,6,58140,61970
Ballan,VLine,2023,7,5790,6110
Ballan,VLine,2023,8,5240,5640
Ballan,VLine,2023,9,3270,3340
Ballan,VLine,2023,10,6520,6550
Ballan,VLine,2023,11,6320,6730
